film_id,date,ville
42,2025-12-24,Paris
46,2025-01-27,Rouen
46,2026-02-24,Marseille
30,2026-01-28,Nice
13,2025-12-29,Toulouse
54,2026-07-08,Bordeaux
3,2025-01-31,Rennes
17,2026-09-16,Nantes
22,2026-03-22,Toulouse
72,2026-08-13,Lille
94,2026-11-02,Rouen
29,2025-09-11,Marseille
67,2025-03-07,Dijon
